Data Source,World Development Indicators,,,,,,,
Last Updated Date,10/7/25,,,,,,,
Country Name,Country Code,Indicator Name,2019,2020,2021,2022,2023,2024
Pakistan,PAK,GDP growth (annual %),2.497636929,-1.274087443,6.513885759,4.778106869,-0.039838972,3.234784432
Panama,PAN,GDP growth (annual %),3.103067886,-17.82122997,16.46712492,10.76966587,7.399301556,2.861666635
Peru,PER,GDP growth (annual %),2.240631769,-10.9333065,13.36262409,2.809033553,-0.403242151,3.303940982
Philippines,PHL,GDP growth (annual %),6.118525662,-9.51829474,5.714733132,7.580982128,5.518949679,5.692016128
Palau,PLW,GDP growth (annual %),0.200015069,-5.999433925,-13.79389322,-1.318427167,1.877031984,
Papua New Guinea,PNG,GDP growth (annual %),4.480514569,-3.167432044,-0.511353419,5.707584042,3.810886229,4.095029002
Poland,POL,GDP growth (annual %),4.580458173,-2.035568824,6.927182661,5.255456974,0.249610834,2.923388081
Pre-demographic dividend,PRE,GDP growth (annual %),3.341231436,-2.535408553,3.187320497,4.298579278,2.285368839,3.099732872
Puerto Rico (US),PRI,GDP growth (annual %),1.675463795,-4.180874309,0.38522272,2.957095655,0.498101252,3.226705422
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),,,,,,
Portugal,PRT,GDP growth (annual %),2.745684796,-8.204632012,5.558757716,6.985841781,2.613128544,1.92844406
Paraguay,PRY,GDP growth (annual %),-0.401855101,-0.819785391,4.016737318,0.176038366,4.999227911,4.249960105
West Bank and Gaza,PSE,GDP growth (annual %),1.362687466,-11.31846611,7.011982276,4.082760273,-4.555804285,-26.55752645
Pacific island small states,PSS,GDP growth (annual %),1.153618841,-10.15092794,-2.688869231,9.374962278,5.054538148,4.001450985
Post-demographic dividend,PST,GDP growth (annual %),1.836391128,-4.07885321,5.679215797,2.735376629,1.860861592,1.792525296
French Polynesia,PYF,GDP growth (annual %),2.700012067,-7.050944221,2.094529907,4.4663797,2.996927078,
Qatar,QAT,GDP growth (annual %),0.688240955,-3.55760399,1.626846719,4.18500971,1.187159916,2.768414336
Romania,ROU,GDP growth (annual %),3.92326385,-3.674384409,5.545709626,3.965307663,2.404271779,0.813687203
Russian Federation,RUS,GDP growth (annual %),2.198075713,-2.653654501,5.866491773,-1.435882139,4.082524813,4.344374755
Rwanda,RWA,GDP growth (annual %),9.447385186,-3.373687464,10.85843202,8.161207209,8.24990302,8.890655296
South Asia,SAS,GDP growth (annual %),4.094543065,-4.987501736,9.246599597,7.101153926,8.505117854,6.224842254
Saudi Arabia,SAU,GDP growth (annual %),1.651563589,-3.80476473,6.519596983,12.00058748,0.542592439,1.807955151
Sudan,SDN,GDP growth (annual %),-2.178251045,-3.629800824,-1.868520483,-0.957816591,-29.43327183,-13.49329206
Senegal,SEN,GDP growth (annual %),4.613628097,1.342073773,6.5440011,3.850431937,4.257430833,6.892007403
Singapore,SGP,GDP growth (annual %),1.308041182,-3.814708855,9.756804463,4.108000219,1.821406941,4.388023625
Solomon Islands,SLB,GDP growth (annual %),1.748566555,-3.381147541,2.564349754,2.402481436,2.656361867,2.539341917
Sierra Leone,SLE,GDP growth (annual %),5.502709374,-1.253349032,5.896852705,5.313554614,5.710021898,4.000000026
El Salvador,SLV,GDP growth (annual %),2.437471591,-7.89310136,11.9047617,2.954615165,3.539156693,2.602020161
San Marino,SMR,GDP growth (annual %),2.065685147,-6.647910818,13.89778951,7.898441458,,
"Somalia, Fed. Rep.",SOM,GDP growth (annual %),2.824313365,-2.752481039,3.458227929,2.727114296,4.216384326,3.972320809
